epoch;acc;loss;val_acc;val_loss
0;0.5;0.7193015728678022;0.5699999928474426;0.6784889101982117
1;0.5703125;0.6755866493497577;0.550000011920929;0.6735095381736755
2;0.5513392857142857;0.6654234613691058;0.6200000047683716;0.6462750434875488
3;0.6595982142857143;0.6399015188217163;0.6800000071525574;0.6313356161117554
4;0.65625;0.62982177734375;0.6800000071525574;0.6231541633605957
5;0.6640625;0.6167397669383458;0.6899999976158142;0.6098053455352783
6;0.671875;0.6042191386222839;0.6899999976158142;0.5989936590194702
7;0.6763392857142857;0.5954172781535557;0.7099999785423279;0.5903565883636475
8;0.6808035714285714;0.5875827159200396;0.7400000095367432;0.5844463109970093
9;0.6863839285714286;0.577179559639522;0.7599999904632568;0.5850517153739929
10;0.6953125;0.5682750173977443;0.75;0.5786147117614746
11;0.7087053571428571;0.5567532777786255;0.7400000095367432;0.5698819756507874
12;0.7220982142857143;0.5462522677012852;0.7400000095367432;0.5621218681335449
13;0.7232142857142857;0.5354396871158055;0.7200000286102295;0.5616686940193176
14;0.7421875;0.5242141485214233;0.7200000286102295;0.5603066086769104
15;0.7589285714285714;0.5120208007948739;0.699999988079071;0.5512757897377014
16;0.7600446428571429;0.5015203186443874;0.7099999785423279;0.5455896854400635
17;0.7712053571428571;0.48734815631593975;0.7099999785423279;0.5377969145774841
18;0.7801339285714286;0.48096853494644165;0.7200000286102295;0.5426528453826904
19;0.7935267857142857;0.462374142238072;0.7200000286102295;0.5328910946846008
20;0.8013392857142857;0.4541991353034973;0.7300000190734863;0.5309996604919434
21;0.8136160714285714;0.4404776692390442;0.75;0.5356706380844116
22;0.8191964285714286;0.42829021385737825;0.7599999904632568;0.5324701070785522
23;0.8258928571428571;0.42134831632886616;0.75;0.5366926193237305
24;0.8337053571428571;0.4096642179148538;0.7599999904632568;0.5266592502593994
25;0.8392857142857143;0.3958992532321385;0.7799999713897705;0.4916524589061737
26;0.84375;0.3854325158255441;0.7900000214576721;0.4801301658153534
27;0.8537946428571429;0.3742841737610953;0.7900000214576721;0.4672130346298218
28;0.8493303571428571;0.37071309770856586;0.7900000214576721;0.45047417283058167
29;0.8515625;0.3570138769490378;0.800000011920929;0.4560549855232239
30;0.8649553571428571;0.34497614417757305;0.8100000023841858;0.4400341808795929
31;0.875;0.33310355458940777;0.8199999928474426;0.43782562017440796
32;0.8738839285714286;0.33051696845463346;0.8199999928474426;0.4103197157382965
33;0.8828125;0.3161127396992275;0.8199999928474426;0.38138893246650696
34;0.8928571428571429;0.30450115885053364;0.8199999928474426;0.3789852261543274
35;0.890625;0.2951623520680836;0.8299999833106995;0.37622231245040894
36;0.8850446428571429;0.2902179104941232;0.8299999833106995;0.37763798236846924
37;0.9029017857142857;0.27526081459862844;0.8199999928474426;0.3829785883426666
38;0.9017857142857143;0.2716220148972103;0.8299999833106995;0.35922300815582275
